Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,cap_space_s1,cap_alloc_s1,cap_space_s2,cap_alloc_s2
2011,2011-2012,1,Kyrie Irving,Duke,CLE,"$23,198,010 ","$5,144,280 ","$5,375,760 ","$5,607,240 ",1558.0,2048.0,944.0,1325.0,275.0,350.0,191.0,216.0,54.0,89.0,73.0,109.0,183.0,279.0,171.0,248.0,196.0,290.0,350.0,484.0,747.0,1070.0,7580826.0,50463174.0,4079850.0,53964150.0
2011,2011-2012,2,Derrick Williams,Arizona,MIN,"$20,760,924 ","$4,602,720 ","$4,809,840 ","$5,016,960 ",1418.0,1916.0,583.0,933.0,38.0,46.0,311.0,430.0,30.0,44.0,37.0,65.0,138.0,196.0,136.0,192.0,195.0,272.0,205.0,338.0,498.0,786.0,2637468.0,55406532.0,-4316135.0,62360135.0
2011,2011-2012,3,Enes Freedom,,UTA,"$18,652,514 ","$4,133,280 ","$4,319,280 ","$4,505,280 ",874.0,1078.0,304.0,506.0,8.0,31.0,278.0,304.0,18.0,28.0,0.0,1.0,1.0,1.0,70.0,93.0,105.0,117.0,117.0,206.0,236.0,379.0,-139391.0,58183391.0,-8869862.0,66913862.0
2011,2011-2012,4,Tristan Thompson,Texas,CLE,"$16,821,270 ","$3,726,600 ","$3,894,240 ","$4,062,000 ",1424.0,2564.0,494.0,957.0,27.0,108.0,389.0,773.0,27.0,60.0,0.0,0.0,2.0,3.0,106.0,177.0,192.0,291.0,194.0,390.0,442.0,799.0,7580826.0,50463174.0,4079850.0,53964150.0
2011,2011-2012,5,Jonas Valanciunas,,TOR,"$15,239,922 ","$3,374,640 ","$3,526,440 ","$3,678,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2011-2012,6,Jan Vesely,,WAS,"$13,845,167 ","$3,065,040 ","$3,202,920 ","$3,340,920 ",1078.0,601.0,267.0,126.0,47.0,28.0,249.0,122.0,39.0,15.0,0.0,0.0,1.0,1.0,33.0,12.0,62.0,39.0,117.0,57.0,218.0,114.0,-10102670.0,68146670.0,-587988.0,58631988.0
2011,2011-2012,7,Bismack Biyombo,,SAC,"$12,645,278 ","$2,798,040 ","$2,923,920 ","$3,049,920 ",1455.0,2186.0,327.0,386.0,27.0,35.0,368.0,582.0,20.0,28.0,0.0,0.0,0.0,0.0,69.0,74.0,143.0,142.0,129.0,156.0,278.0,346.0,21391689.0,36652311.0,4468658.0,53575342.0
2011,2011-2012,8,Brandon Knight,Kentucky,DET,"$11,589,837 ","$2,563,320 ","$2,678,640 ","$2,793,960 ",2129.0,2365.0,847.0,999.0,251.0,303.0,211.0,247.0,49.0,58.0,105.0,120.0,276.0,327.0,104.0,165.0,137.0,225.0,319.0,357.0,769.0,878.0,-8259080.0,66303080.0,-10521736.0,68565736.0
2011,2011-2012,9,Kemba Walker,UConn,CHA,"$10,659,171 ","$2,356,320 ","$2,462,400 ","$2,568,360 ",1792.0,2859.0,799.0,1455.0,289.0,471.0,234.0,283.0,60.0,160.0,69.0,107.0,226.0,332.0,168.0,296.0,213.0,371.0,281.0,526.0,767.0,1244.0,-7567373.0,65611373.0,543873.0,57500127.0
2011,2011-2012,10,Jimmer Fredette,BYU,MIL,"$10,128,036 ","$2,238,360 ","$2,339,040 ","$2,439,840 ",1135.0,967.0,462.0,494.0,108.0,92.0,73.0,71.0,30.0,31.0,78.0,65.0,216.0,156.0,40.0,85.0,48.0,99.0,172.0,172.0,446.0,409.0,-8310411.0,66354411.0,-3614839.0,61658839.0
2011,2011-2012,11,Klay Thompson,Washington State,GSW,"$9,742,480 ","$2,126,520 ","$2,222,160 ","$2,317,920 ",1608.0,2936.0,826.0,1359.0,133.0,183.0,161.0,306.0,49.0,86.0,111.0,211.0,268.0,526.0,79.0,132.0,91.0,157.0,318.0,508.0,718.0,1205.0,1301560.0,56742440.0,-11668825.0,69712825.0
2011,2011-2012,12,Alec Burks,Colorado,UTA,"$9,367,716 ","$2,020,200 ","$2,111,160 ","$2,202,000 ",939.0,1137.0,425.0,451.0,55.0,92.0,132.0,145.0,27.0,35.0,15.0,33.0,45.0,92.0,104.0,92.0,143.0,129.0,153.0,163.0,357.0,388.0,-139391.0,58183391.0,-8869862.0,66913862.0
2011,2011-2012,13,Markieff Morris,Kansas,PHO,"$9,005,799 ","$1,919,160 ","$2,005,560 ","$2,091,840 ",1227.0,1837.0,467.0,670.0,65.0,108.0,279.0,396.0,41.0,77.0,43.0,45.0,124.0,134.0,76.0,93.0,106.0,127.0,174.0,266.0,436.0,653.0,-6865904.0,64910904.0,4809098.0,53234902.0
2011,2011-2012,14,Marcus Morris,Kansas,HOU,"$8,659,181 ","$1,823,280 ","$1,905,360 ","$1,987,320 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2011-2012,15,Kawhi Leonard,San Diego State,IND,"$8,323,699 ","$1,731,960 ","$1,809,840 ","$1,887,840 ",1534.0,1810.0,507.0,689.0,70.0,93.0,327.0,346.0,85.0,97.0,41.0,65.0,109.0,174.0,68.0,104.0,88.0,126.0,199.0,260.0,404.0,526.0,13630254.0,44413746.0,-8701868.0,66745868.0
2011,2011-2012,16,Nikola Vucevic,USC,PHI,"$7,909,700 ","$1,645,440 ","$1,719,480 ","$1,793,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2011-2012,17,Iman Shumpert,Georgia Tech,NYK,"$7,517,295 ","$1,563,120 ","$1,633,440 ","$1,703,760 ",1705.0,996.0,563.0,305.0,164.0,75.0,186.0,136.0,101.0,43.0,48.0,51.0,157.0,127.0,87.0,36.0,109.0,47.0,214.0,109.0,534.0,275.0,-4180804.0,62224804.0,-20810599.0,78854599.0
2011,2011-2012,18,Cris Singleton,Florida State,WAS,"$7,145,050 ","$1,485,000 ","$1,551,840 ","$1,618,680 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2011-2012,19,Tobias Harris,Tennessee,CHA,"$6,826,594 ","$1,418,160 ","$1,482,000 ","$1,545,840 ",479.0,325.0,208.0,136.0,22.0,13.0,101.0,57.0,13.0,8.0,6.0,7.0,23.0,21.0,44.0,23.0,54.0,26.0,79.0,53.0,169.0,115.0,-7567373.0,65611373.0,543873.0,57500127.0
