PLAYER_ID,NAME,DOB,POSITION,NATIONALITY,HEIGHT,WEIGHT,SEASON1_ID,SEASON2_ID,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,PLUS_MINUS_S1,PLUS_MINUS_S2
202681,Kyrie Irving,1992-03-23T00:00:00,Guard,,6-2,195,2011-12,2012-13,1558.0,2048.0,944.0,1325.0,275.0,350.0,191.0,216.0,54.0,89.0,73.0,109.0,183.0,279.0,171.0,248.0,196.0,290.0,350.0,484.0,747.0,1070.0,,
202682,Derrick Williams,1991-05-25T00:00:00,Forward,,6-8,240,2011-12,2012-13,1418.0,1916.0,583.0,933.0,38.0,46.0,311.0,430.0,30.0,44.0,37.0,65.0,138.0,196.0,136.0,192.0,195.0,272.0,205.0,338.0,498.0,786.0,,
202683,Enes Freedom,1992-05-20T00:00:00,Center,,6-10,250,2011-12,2012-13,874.0,1078.0,304.0,506.0,8.0,31.0,278.0,304.0,18.0,28.0,0.0,1.0,1.0,1.0,70.0,93.0,105.0,117.0,117.0,206.0,236.0,379.0,,
202684,Tristan Thompson,1991-03-13T00:00:00,Center-Forward,,6-9,254,2011-12,2012-13,1424.0,2564.0,494.0,957.0,27.0,108.0,389.0,773.0,27.0,60.0,0.0,0.0,2.0,3.0,106.0,177.0,192.0,291.0,194.0,390.0,442.0,799.0,,
202686,Jan Vesely,1990-04-24T00:00:00,Forward,,7-0,242,2011-12,2012-13,1078.0,601.0,267.0,126.0,47.0,28.0,249.0,122.0,39.0,15.0,0.0,0.0,1.0,1.0,33.0,12.0,62.0,39.0,117.0,57.0,218.0,114.0,,
202687,Bismack Biyombo,1992-08-28T00:00:00,Center,,6-8,255,2011-12,2012-13,1455.0,2186.0,327.0,386.0,27.0,35.0,368.0,582.0,20.0,28.0,0.0,0.0,0.0,0.0,69.0,74.0,143.0,142.0,129.0,156.0,278.0,346.0,,
202688,Brandon Knight,1991-12-02T00:00:00,Guard,,6-2,182,2011-12,2012-13,2129.0,2365.0,847.0,999.0,251.0,303.0,211.0,247.0,49.0,58.0,105.0,120.0,276.0,327.0,104.0,165.0,137.0,225.0,319.0,357.0,769.0,878.0,,
202689,Kemba Walker,1990-05-08T00:00:00,Guard,,6-0,184,2011-12,2012-13,1792.0,2859.0,799.0,1455.0,289.0,471.0,234.0,283.0,60.0,160.0,69.0,107.0,226.0,332.0,168.0,296.0,213.0,371.0,281.0,526.0,767.0,1244.0,,
202690,Jimmer Fredette,1989-02-25T00:00:00,Guard,,6-2,195,2011-12,2012-13,1135.0,967.0,462.0,494.0,108.0,92.0,73.0,71.0,30.0,31.0,78.0,65.0,216.0,156.0,40.0,85.0,48.0,99.0,172.0,172.0,446.0,409.0,,
202691,Klay Thompson,1990-02-08T00:00:00,Guard,,6-5,220,2011-12,2012-13,1608.0,2936.0,826.0,1359.0,133.0,183.0,161.0,306.0,49.0,86.0,111.0,211.0,268.0,526.0,79.0,132.0,91.0,157.0,318.0,508.0,718.0,1205.0,,
