Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,4th Year Option
2011,2011-2012,1,Kyrie Irving,Duke,CLE,"$23,198,010 ","$5,144,280 ","$5,375,760 ","$5,607,240 ","$7,070,730 "
2011,2011-2012,2,Derrick Williams,Arizona,MIN,"$20,760,924 ","$4,602,720 ","$4,809,840 ","$5,016,960 ","$6,331,404 "
2011,2011-2012,3,Enes Freedom,,UTA,"$18,652,514 ","$4,133,280 ","$4,319,280 ","$4,505,280 ","$5,694,674 "
2011,2011-2012,4,Tristan Thompson,Texas,CLE,"$16,821,270 ","$3,726,600 ","$3,894,240 ","$4,062,000 ","$5,138,430 "
2011,2011-2012,5,Jonas Valanciunas,,TOR,"$15,239,922 ","$3,374,640 ","$3,526,440 ","$3,678,360 ","$4,660,482 "
2011,2011-2012,6,Jan Vesely,,WAS,"$13,845,167 ","$3,065,040 ","$3,202,920 ","$3,340,920 ","$4,236,287 "
2011,2011-2012,7,Bismack Biyombo,,SAC,"$12,645,278 ","$2,798,040 ","$2,923,920 ","$3,049,920 ","$3,873,398 "
2011,2011-2012,8,Brandon Knight,Kentucky,DET,"$11,589,837 ","$2,563,320 ","$2,678,640 ","$2,793,960 ","$3,553,917 "
2011,2011-2012,9,Kemba Walker,UConn,CHA,"$10,659,171 ","$2,356,320 ","$2,462,400 ","$2,568,360 ","$3,272,091 "
2011,2011-2012,10,Jimmer Fredette,BYU,MIL,"$10,128,036 ","$2,238,360 ","$2,339,040 ","$2,439,840 ","$3,110,796 "
2011,2011-2012,11,Klay Thompson,Washington State,GSW,"$9,742,480 ","$2,126,520 ","$2,222,160 ","$2,317,920 ","$3,075,880 "
2011,2011-2012,12,Alec Burks,Colorado,UTA,"$9,367,716 ","$2,020,200 ","$2,111,160 ","$2,202,000 ","$3,034,356 "
2011,2011-2012,13,Markieff Morris,Kansas,PHO,"$9,005,799 ","$1,919,160 ","$2,005,560 ","$2,091,840 ","$2,989,239 "
2011,2011-2012,14,Marcus Morris,Kansas,HOU,"$8,659,181 ","$1,823,280 ","$1,905,360 ","$1,987,320 ","$2,943,221 "
2011,2011-2012,15,Kawhi Leonard,San Diego State,IND,"$8,323,699 ","$1,731,960 ","$1,809,840 ","$1,887,840 ","$2,894,059 "
2011,2011-2012,16,Nikola Vucevic,USC,PHI,"$7,909,700 ","$1,645,440 ","$1,719,480 ","$1,793,520 ","$2,751,260 "
2011,2011-2012,17,Iman Shumpert,Georgia Tech,NYK,"$7,517,295 ","$1,563,120 ","$1,633,440 ","$1,703,760 ","$2,616,975 "
2011,2011-2012,18,Cris Singleton,Florida State,WAS,"$7,145,050 ","$1,485,000 ","$1,551,840 ","$1,618,680 ","$2,489,530 "
2011,2011-2012,19,Tobias Harris,Tennessee,CHA,"$6,826,594 ","$1,418,160 ","$1,482,000 ","$1,545,840 ","$2,380,594 "
2011,2011-2012,20,Donatas Motiejunas,,MIN,"$6,556,245 ","$1,361,400 ","$1,422,720 ","$1,483,920 ","$2,288,205 "
2011,2011-2012,21,Nolan Smith,Duke,POR,"$6,366,420 ","$1,306,920 ","$1,365,720 ","$1,424,520 ","$2,269,260 "
2011,2011-2012,22,Kenneth Faried,Morehead State University,DEN,"$6,183,368 ","$1,254,720 ","$1,311,240 ","$1,367,640 ","$2,249,768 "
2011,2011-2012,23,Nikola Mirotic,,HOU,"$6,004,305 ","$1,204,560 ","$1,258,800 ","$1,312,920 ","$2,228,025 "
2011,2011-2012,24,Reggie Jackson,Boston College,OKC,"$5,829,450 ","$1,156,320 ","$1,208,400 ","$1,260,360 ","$2,204,370 "
2011,2011-2012,25,MarShon Brooks,Providence,BOS,"$5,659,594 ","$1,110,120 ","$1,160,040 ","$1,210,080 ","$2,179,354 "
2011,2011-2012,26,Jordan Hamilton,Texas,DAL,"$5,473,974 ","$1,073,280 ","$1,121,520 ","$1,169,880 ","$2,109,294 "
2011,2011-2012,27,JaJuan Johnson,Purdue,NJN,"$5,317,353 ","$1,042,320 ","$1,089,240 ","$1,136,160 ","$2,049,633 "
2011,2011-2012,28,Norris Cole,Cleveland State University,CHI,"$5,285,886 ","$1,035,960 ","$1,082,520 ","$1,129,200 ","$2,038,206 "
2011,2011-2012,29,Cory Joseph,Texas,SAS,"$5,247,301 ","$1,028,400 ","$1,074,720 ","$1,120,920 ","$2,023,261 "
2011,2011-2012,30,Jimmy Butler,Marquette,CHI,"$5,209,508 ","$1,020,960 ","$1,066,920 ","$1,112,880 ","$2,008,748 "
2012,2012-2013,1,Anthony Davis,Kentucky,NOH,"$23,198,010 ","$5,144,280 ","$5,375,760 ","$5,607,240 ","$7,070,730 "
2012,2012-2013,2,Michael Kidd-Gilchrist,Kentucky,CHA,"$20,760,924 ","$4,602,720 ","$4,809,840 ","$5,016,960 ","$6,331,404 "
2012,2012-2013,3,Bradley Beal,Florida,WAS,"$18,652,514 ","$4,133,280 ","$4,319,280 ","$4,505,280 ","$5,694,674 "
2012,2012-2013,4,Dion Waiters,Syracuse,CLE,"$16,821,270 ","$3,726,600 ","$3,894,240 ","$4,062,000 ","$5,138,430 "
2012,2012-2013,5,Thomas Robinson,Kansas,SAC,"$15,239,922 ","$3,374,640 ","$3,526,440 ","$3,678,360 ","$4,660,482 "
2012,2012-2013,6,Damian Lillard,Weber State,POR,"$13,845,167 ","$3,065,040 ","$3,202,920 ","$3,340,920 ","$4,236,287 "
2012,2012-2013,7,Harrison Barnes,UNC,GSW,"$12,645,278 ","$2,798,040 ","$2,923,920 ","$3,049,920 ","$3,873,398 "
2012,2012-2013,8,Terrence Ross,Washington,TOR,"$11,589,837 ","$2,563,320 ","$2,678,640 ","$2,793,960 ","$3,553,917 "
2012,2012-2013,9,Andre Drummond,UConn,DET,"$10,659,171 ","$2,356,320 ","$2,462,400 ","$2,568,360 ","$3,272,091 "
2012,2012-2013,10,Austin Rivers,Duke,NOH,"$10,128,036 ","$2,238,360 ","$2,339,040 ","$2,439,840 ","$3,110,796 "
2012,2012-2013,11,Meyers Leonard,Illinois,POR,"$9,742,480 ","$2,126,520 ","$2,222,160 ","$2,317,920 ","$3,075,880 "
2012,2012-2013,12,Jeremy Lamb,UConn,HOU,"$9,367,716 ","$2,020,200 ","$2,111,160 ","$2,202,000 ","$3,034,356 "
2012,2012-2013,13,Kendall Marshall,UNC,PHO,"$9,005,799 ","$1,919,160 ","$2,005,560 ","$2,091,840 ","$2,989,239 "
2012,2012-2013,14,John Henson,UNC,MIL,"$8,659,181 ","$1,823,280 ","$1,905,360 ","$1,987,320 ","$2,943,221 "
2012,2012-2013,15,Maurice Harkless,St. John's,PHI,"$8,323,699 ","$1,731,960 ","$1,809,840 ","$1,887,840 ","$2,894,059 "
2012,2012-2013,16,Royce White,Iowa State,HOU,"$7,909,700 ","$1,645,440 ","$1,719,480 ","$1,793,520 ","$2,751,260 "
2012,2012-2013,17,Tyler Zeller,UNC,DAL,"$7,517,295 ","$1,563,120 ","$1,633,440 ","$1,703,760 ","$2,616,975 "
2012,2012-2013,18,Terrence Jones,Kentucky,HOU,"$7,145,050 ","$1,485,000 ","$1,551,840 ","$1,618,680 ","$2,489,530 "
2012,2012-2013,19,Andrew Nicholson,St. Bonaventure,ORL,"$6,826,594 ","$1,418,160 ","$1,482,000 ","$1,545,840 ","$2,380,594 "
