Team,Name,Old Name,Current Team, 2011-12 Total Cap Allocation , 2011-12 Cap Space , 2012-13 Total Cap Allocation , 2012-13 Cap Space , 2013-14 Total Cap Allocation , 2013-14 Cap Space , 2014-15 Total Cap Allocation , 2014-15 Cap Space , 2015-16 Total Cap Allocation , 2015-16 Cap Space , 2016-17 Total Cap Allocation , 2016-17 Cap Space , 2017-18 Total Cap Allocation , 2017-18 Cap Space , 2018-19 Total Cap Allocation , 2018-19 Cap Space , 2019-20 Total Cap Allocation , 2019-20 Cap Space , 2020-21 Total Cap Allocation , 2020-21 Cap Space , 2021-22 Total Cap Allocation , 2021-22 Cap Space , 2022-23 Total Cap Allocation , 2022-23 Cap Space , 2023-24 Total Cap Allocation , 2023-24 Cap Space , 2024-25 Total Cap Allocation , 2024-25 Cap Space ,,
ATL,Atlanta Hawks,,," $71,683,612.00 "," $(13,639,612.00)"," $66,492,527.00 "," $(8,448,527.00)"," $58,477,559.00 "," $201,441.00 "," $58,328,957.00 "," $4,736,043.00 "," $71,407,945.00 "," $(1,407,945.00)"," $95,563,799.00 "," $(1,420,799.00)"," $100,108,457.00 "," $(1,015,457.00)"," $103,572,575.00 "," $(1,703,575.00)"," $112,342,555.00 "," $(3,202,555.00)"," $116,695,055.00 "," $(7,555,055.00)"," $132,773,339.00 "," $(20,359,339.00)"," $149,133,740.00 "," $(25,478,740.00)"," $156,139,798.00 "," $(20,118,798.00)"," $174,418,704.00 "," $(33,830,704.00)",,
BOS,Boston Celtics,,," $76,544,614.00 "," $(18,500,614.00)"," $71,576,087.00 "," $(13,532,087.00)"," $102,928,076.00 "," $(44,249,076.00)"," $92,047,946.00 "," $(28,982,946.00)"," $81,451,123.00 "," $(11,451,123.00)"," $83,730,005.00 "," $10,412,995.00 "," $95,964,560.00 "," $3,128,440.00 "," $117,571,620.00 "," $(15,702,620.00)"," $128,264,668.00 "," $(19,124,668.00)"," $168,550,487.00 "," $(59,410,487.00)"," $172,820,410.00 "," $(60,406,410.00)"," $166,976,311.00 "," $(43,321,311.00)"," $160,288,529.00 "," $(24,267,529.00)"," $181,458,492.00 "," $(40,870,492.00)",,
BRK,Brooklyn Nets,,," $51,922,417.00 "," $6,121,583.00 "," $83,530,674.00 "," $(25,485,674.00)"," $70,644,150.00 "," $(11,965,150.00)"," $60,403,234.00 "," $2,661,766.00 "," $79,441,671.00 "," $(9,441,671.00)"," $93,035,161.00 "," $1,107,839.00 "," $115,075,693.00 "," $(15,982,693.00)"," $128,794,955.00 "," $(26,925,955.00)"," $119,147,447.00 "," $(10,007,447.00)"," $130,767,745.00 "," $(21,627,745.00)"," $135,425,801.00 "," $(23,011,801.00)"," $176,795,764.00 "," $(53,140,764.00)"," $188,759,360.00 "," $(52,738,360.00)"," $197,048,229.00 "," $(56,460,229.00)",,
CHI,Chicago Bulls,,," $70,787,864.00 "," $(12,743,864.00)"," $74,258,448.00 "," $(16,214,448.00)"," $71,073,626.00 "," $(12,394,626.00)"," $67,432,537.00 "," $(4,367,537.00)"," $102,184,130.00 "," $(32,184,130.00)"," $93,175,538.00 "," $967,462.00 "," $90,105,625.00 "," $8,987,375.00 "," $112,014,084.00 "," $(10,145,084.00)"," $113,208,742.00 "," $(4,068,742.00)"," $128,065,350.00 "," $(18,925,350.00)"," $136,118,673.00 "," $(23,704,673.00)"," $153,093,665.00 "," $(29,438,665.00)"," $166,348,969.00 "," $(30,327,969.00)"," $168,006,873.00 "," $(27,418,873.00)",,
CHO,Charlotte Hornets,,," $65,611,373.00 "," $(7,567,373.00)"," $57,500,127.00 "," $543,873.00 "," $62,824,677.00 "," $(4,145,677.00)"," $65,680,052.00 "," $(2,615,052.00)"," $80,426,916.00 "," $(10,426,916.00)"," $102,036,240.00 "," $(7,893,240.00)"," $120,170,928.00 "," $(21,077,928.00)"," $124,672,166.00 "," $(22,803,166.00)"," $127,312,849.00 "," $(18,172,849.00)"," $107,134,070.00 "," $2,005,930.00 "," $120,990,744.00 "," $(8,576,744.00)"," $146,049,640.00 "," $(22,394,640.00)"," $141,036,011.00 "," $(5,015,011.00)"," $167,423,486.00 "," $(26,835,486.00)",,
CLE,Cleveland Cavaliers,,," $50,463,174.00 "," $7,580,826.00 "," $53,964,150.00 "," $4,079,850.00 "," $66,179,320.00 "," $(7,500,320.00)"," $81,377,634.00 "," $(18,312,634.00)"," $107,975,670.00 "," $(37,975,670.00)"," $127,570,594.00 "," $(33,427,594.00)"," $140,394,596.00 "," $(41,301,596.00)"," $123,699,800.00 "," $(21,830,800.00)"," $135,275,863.00 "," $(26,135,863.00)"," $126,527,288.00 "," $(17,387,288.00)"," $133,138,401.00 "," $(20,724,401.00)"," $154,561,446.00 "," $(30,906,446.00)"," $168,250,835.00 "," $(32,229,835.00)"," $178,212,347.00 "," $(37,624,347.00)",,
DAL,Dallas Mavericks,,," $75,210,420.00 "," $(17,166,420.00)"," $61,941,526.00 "," $(3,897,526.00)"," $68,057,497.00 "," $(9,378,497.00)"," $75,014,621.00 "," $(11,949,621.00)"," $74,044,137.00 "," $(4,044,137.00)"," $104,083,711.00 "," $(9,940,711.00)"," $85,147,033.00 "," $13,945,967.00 "," $87,760,060.00 "," $14,108,940.00 "," $136,193,863.00 "," $(27,053,863.00)"," $125,815,404.00 "," $(16,675,404.00)"," $146,734,486.00 "," $(34,320,486.00)"," $180,090,371.00 "," $(56,435,371.00)"," $175,321,021.00 "," $(39,300,021.00)"," $187,147,472.00 "," $(46,559,472.00)",,
DEN,Denver Nuggets,,," $57,150,022.00 "," $893,978.00 "," $63,970,222.00 "," $(5,926,222.00)"," $70,830,842.00 "," $(12,151,842.00)"," $65,829,749.00 "," $(2,764,749.00)"," $71,448,753.00 "," $(1,448,753.00)"," $82,581,936.00 "," $11,561,064.00 "," $106,515,203.00 "," $(7,422,203.00)"," $119,128,560.00 "," $(17,259,560.00)"," $131,854,274.00 "," $(22,714,274.00)"," $131,820,534.00 "," $(22,680,534.00)"," $138,963,942.00 "," $(26,549,942.00)"," $169,601,210.00 "," $(45,946,210.00)"," $184,751,085.00 "," $(48,730,085.00)"," $192,786,656.00 "," $(52,198,656.00)",,
DET,Detroit Pistons,,," $66,303,080.00 "," $(8,259,080.00)"," $68,565,736.00 "," $(10,521,736.00)"," $61,897,253.00 "," $(3,218,253.00)"," $63,871,995.00 "," $(806,995.00)"," $75,603,690.00 "," $(5,603,690.00)"," $107,901,937.00 "," $(13,758,937.00)"," $118,897,722.00 "," $(19,804,722.00)"," $124,996,010.00 "," $(23,127,010.00)"," $136,015,378.00 "," $(26,875,378.00)"," $115,013,466.00 "," $(5,873,466.00)"," $128,989,131.00 "," $(16,575,131.00)"," $127,673,493.00 "," $(4,018,493.00)"," $136,419,412.00 "," $(398,412.00)"," $141,808,220.00 "," $(1,220,220.00)",,
GSW,Golden State Warriors,,," $56,742,440.00 "," $1,301,560.00 "," $69,712,825.00 "," $(11,668,825.00)"," $71,406,068.00 "," $(12,727,068.00)"," $80,391,141.00 "," $(17,326,141.00)"," $104,731,006.00 "," $(34,731,006.00)"," $100,241,842.00 "," $(6,098,842.00)"," $136,843,128.00 "," $(37,750,128.00)"," $154,587,831.00 "," $(52,718,831.00)"," $138,003,598.00 "," $(28,863,598.00)"," $175,825,052.00 "," $(66,685,052.00)"," $184,024,769.00 "," $(71,610,769.00)"," $199,320,856.00 "," $(75,665,856.00)"," $224,848,124.00 "," $(88,827,124.00)"," $199,518,342.00 "," $(58,930,342.00)",,
HOU,Houston Rockets,,," $49,625,800.00 "," $8,418,200.00 "," $55,435,438.00 "," $2,608,562.00 "," $63,877,378.00 "," $(5,198,378.00)"," $74,050,249.00 "," $(10,985,249.00)"," $88,387,446.00 "," $(18,387,446.00)"," $90,968,493.00 "," $3,174,507.00 "," $118,271,451.00 "," $(19,178,451.00)"," $128,871,987.00 "," $(27,002,987.00)"," $151,594,903.00 "," $(42,454,903.00)"," $129,533,390.00 "," $(20,393,390.00)"," $132,065,764.00 "," $(19,651,764.00)"," $138,296,534.00 "," $(14,641,534.00)"," $145,302,009.00 "," $(9,281,009.00)"," $173,496,349.00 "," $(32,908,349.00)",,
IND,Indiana Pacers,,," $44,413,746.00 "," $13,630,254.00 "," $66,745,868.00 "," $(8,701,868.00)"," $67,428,228.00 "," $(8,749,228.00)"," $75,998,942.00 "," $(12,933,942.00)"," $72,413,726.00 "," $(2,413,726.00)"," $94,002,004.00 "," $140,996.00 "," $93,661,969.00 "," $5,431,031.00 "," $110,579,462.00 "," $(8,710,462.00)"," $114,591,944.00 "," $(5,451,944.00)"," $129,005,732.00 "," $(19,865,732.00)"," $136,089,712.00 "," $(23,675,712.00)"," $122,145,349.00 "," $1,509,651.00 "," $146,679,278.00 "," $(10,658,278.00)"," $171,232,577.00 "," $(30,644,577.00)",,
LAC,Los Angeles Clippers,,," $69,573,889.00 "," $(11,529,889.00)"," $69,520,697.00 "," $(11,476,697.00)"," $74,981,669.00 "," $(16,302,669.00)"," $82,909,773.00 "," $(19,844,773.00)"," $99,997,773.00 "," $(29,997,773.00)"," $118,011,825.00 "," $(23,868,825.00)"," $118,817,049.00 "," $(19,724,049.00)"," $118,570,700.00 "," $(16,701,700.00)"," $130,154,932.00 "," $(21,014,932.00)"," $137,405,301.00 "," $(28,265,301.00)"," $166,162,398.00 "," $(53,748,398.00)"," $193,025,318.00 "," $(69,370,318.00)"," $202,080,521.00 "," $(66,059,521.00)"," $174,670,238.00 "," $(34,082,238.00)",,
LAL,Los Angeles Lakers,,," $81,659,758.00 "," $(23,615,758.00)"," $99,847,565.00 "," $(41,803,565.00)"," $84,415,826.00 "," $(25,736,826.00)"," $70,374,042.00 "," $(7,309,042.00)"," $73,112,648.00 "," $(3,112,648.00)"," $94,204,120.00 "," $(61,120.00)"," $105,120,157.00 "," $(6,027,157.00)"," $105,333,698.00 "," $(3,464,698.00)"," $122,723,507.00 "," $(13,583,507.00)"," $138,544,305.00 "," $(29,404,305.00)"," $160,861,720.00 "," $(48,447,720.00)"," $180,067,292.00 "," $(56,412,292.00)"," $181,975,999.00 "," $(45,954,999.00)"," $200,785,985.00 "," $(60,197,985.00)",,
MEM,Memphis Grizzlies,,," $67,958,273.00 "," $(9,914,273.00)"," $63,276,388.00 "," $(5,232,388.00)"," $72,778,550.00 "," $(14,099,550.00)"," $75,675,569.00 "," $(12,610,569.00)"," $85,476,595.00 "," $(15,476,595.00)"," $110,869,863.00 "," $(16,726,863.00)"," $112,723,222.00 "," $(13,630,222.00)"," $124,214,557.00 "," $(22,345,557.00)"," $132,844,749.00 "," $(23,704,749.00)"," $134,245,326.00 "," $(25,105,326.00)"," $115,994,102.00 "," $(3,580,102.00)"," $127,756,781.00 "," $(4,101,781.00)"," $162,996,801.00 "," $(26,975,801.00)"," $167,814,933.00 "," $(27,226,933.00)",,
MIA,Miami Heat,,," $78,613,056.00 "," $(20,569,056.00)"," $83,431,885.00 "," $(25,387,885.00)"," $80,645,920.00 "," $(21,966,920.00)"," $75,966,404.00 "," $(12,901,404.00)"," $84,619,637.00 "," $(14,619,637.00)"," $101,820,405.00 "," $(7,677,405.00)"," $105,065,917.00 "," $(5,972,917.00)"," $126,261,568.00 "," $(24,392,568.00)"," $138,759,297.00 "," $(29,619,297.00)"," $135,572,405.00 "," $(26,432,405.00)"," $138,804,919.00 "," $(26,390,919.00)"," $152,766,041.00 "," $(29,111,041.00)"," $180,754,950.00 "," $(44,733,950.00)"," $179,350,729.00 "," $(38,762,729.00)",,
